172.105.199.168:20205#日本东京 53537 kB/s
172.104.116.38:20205#日本东京 53151 kB/s
172.105.208.156:20205#日本东京 52931 kB/s
139.162.108.5:20205#日本东京 52732 kB/s
139.162.106.22:20205#日本东京 52374 kB/s
172.105.209.25:20205#日本东京 52112 kB/s
139.162.83.106:20205#日本东京 45197 kB/s
172.104.113.18:20205#日本东京 45072 kB/s
172.104.116.214:20205#日本东京 44503 kB/s

139.177.185.88:20205#新加坡 35514 kB/s
139.177.185.196:20205#新加坡 34489 kB/s
192.53.172.74:444#新加坡 33103 kB/s

172.232.231.191:444#印度尼西亚雅加达 29386 kB/s

194.195.125.161:20205#澳大利亚悉尼 13302 kB/s
172.105.191.21:20205#澳大利亚悉尼 12875 kB/s
194.195.252.133:20205#澳大利亚悉尼 12307 kB/s

172.232.232.163:20205#美国洛杉矶 12240 kB/s

173.230.146.220:20205#美国圣何塞 18532 kB/s
173.230.146.251:20205#美国圣何塞 18049 kB/s
45.79.73.102:20205#美国圣何塞 17157 kB/s
45.79.73.185:20205#美国圣何塞 14275 kB/s
192.155.85.13:20205#美国圣何塞 13994 kB/s
23.239.20.75:20205#美国圣何塞 13741 kB/s
45.79.84.212:20205#美国圣何塞 13524 kB/s
173.230.144.146:20205#美国圣何塞 13425 kB/s
104.237.158.79:20205#美国圣何塞 13416 kB/s
45.56.88.192:20205#美国圣何塞 13336 kB/s
45.33.110.30:20205#美国圣何塞 13208 kB/s
173.230.146.230:20205#美国圣何塞 11789 kB/s
23.239.21.193:20205#美国圣何塞 11177 kB/s
45.33.63.28:20205#美国圣何塞 10696 kB/s
173.255.250.199:20205#美国圣何塞 10638 kB/s
45.79.73.91:20205#美国圣何塞 10582 kB/s
45.56.94.149:20205#美国圣何塞 10548 kB/s
45.79.73.59:20205#美国圣何塞 10439 kB/s
45.79.73.199:20205#美国圣何塞 10403 kB/s
74.207.242.149:20205#美国圣何塞 10344 kB/s
74.207.243.49:20205#美国圣何塞 10097 kB/s

172.104.251.98:20205#德国法兰克福 11690 kB/s
172.104.144.120:20205#德国法兰克福 11672 kB/s
139.144.181.39:20205#德国法兰克福 11645 kB/s
172.104.205.39:20205#德国法兰克福 11397 kB/s
172.104.155.28:20205#德国法兰克福 11352 kB/s
172.105.81.165:20205#德国法兰克福 11075 kB/s
194.233.175.240:20205#德国法兰克福 11067 kB/s
139.162.174.56:20205#德国法兰克福 11053 kB/s
139.144.77.58:20205#德国法兰克福 11033 kB/s
172.105.72.217:20205#德国法兰克福 11018 kB/s
172.104.234.37:20205#德国法兰克福 10924 kB/s
172.105.67.238:20205#德国法兰克福 10898 kB/s
139.144.77.236:20205#德国法兰克福 10873 kB/s
139.162.135.127:20205#德国法兰克福 10690 kB/s
139.162.164.157:20205#德国法兰克福 10663 kB/s
139.177.179.96:20205#德国法兰克福 10643 kB/s
45.79.248.18:20205#德国法兰克福 10634 kB/s
170.187.190.53:20205#德国法兰克福 10627 kB/s
192.46.235.185:20205#德国法兰克福 10602 kB/s
192.46.232.147:3443#德国法兰克福 10447 kB/s
172.104.128.242:20205#德国法兰克福 10367 kB/s
139.162.138.121:20205#德国法兰克福 10345 kB/s
172.104.155.96:20205#德国法兰克福 10317 kB/s
192.46.239.226:20205#德国法兰克福 10250 kB/s
139.162.156.54:20205#德国法兰克福 10241 kB/s
172.104.239.152:20205#德国法兰克福 10227 kB/s

# 亚特兰大
194.195.211.127:990#亚特兰大 10575 kB/s
